DLiP-ID,C000RS
DLiP-Mol-ID,31272
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H29N3O2S2/c1-24(2)30(27,28)18-10-11-23-21(17-18)19(20-7-4-5-9-22(20)29-23)8-6-12-26-15-13-25(3)14-16-26/h4-5,7-11,17H,6,12-16H2,1-3H3/b19-8-"
Standard Inchi Key(RDKit),GFBKORZTTCHDGY-UWVJOHFNSA-N
Canonical SMILES(RDKit),CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),443.638
MW Monoisotopic(RDKit),443.170119168
MolLogP(RDKit),3.4707
XLogP(SDF),
XLogP(CDK),3.295
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),43.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.604178080978621
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6289279.077172803
qed,0.6041780809786208
Chi0,21.302754140504845
Chi1,14.358210476585922
TPSA,43.86000000000001
Chi0n,17.83607678899162
Chi0v,19.46906995084707
Chi1n,10.313367137409134
Chi1v,12.569927047137499
Chi2n,8.09500665571713
Chi2v,11.330617555991523
Chi3n,5.806607709061215
Chi3v,8.769511796785427
Chi4n,3.904399870539208
Chi4v,5.919236715511055
MolMR,123.51280000000007
MolWt,443.63800000000026
fr_SH,0
Kappa1,21.586702415660138
Kappa2,8.845452410925189
Kappa3,4.359449903126171
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1055.8679416192647
MolLogP,3.4707000000000026
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6676985497860848
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,14.105035452997189
SMR_VSA4,0.0
SMR_VSA5,21.107272049479334
SMR_VSA6,53.86679797759444
SMR_VSA7,59.66749256945914
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,183.9649821730715
NHOHCount,0
PEOE_VSA1,9.799819461700956
PEOE_VSA2,0.0
PEOE_VSA3,12.72301297562517
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.037006261609825
PEOE_VSA7,54.43396939291289
PEOE_VSA8,56.61009294595279
PEOE_VSA9,4.895483475517775
RingCount,4
SMR_VSA10,27.358280632867967
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,443.170119168
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,76.38963041492057
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,17.54772460632
SlogP_VSA6,63.22704001261848
SlogP_VSA7,0.0
SlogP_VSA8,5.573104530069267
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,0.0
EState_VSA3,4.895483475517775
EState_VSA4,55.176643149772914
EState_VSA5,14.764150958511003
EState_VSA6,31.923595983207107
EState_VSA7,12.13273413692322
EState_VSA8,47.18897982505847
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,11.761884949391115
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,26.685388737726086
VSA_EState9,38.82413866240805
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,8.417796984328938
EState_VSA11,0.0
FractionCSP3,0.391304347826087
VSA_EState10,-1.7595274001341377
fr_C_O_noCOO,0
