DLiP-ID,T000L1
DLiP-Mol-ID,16152
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H24N4O4/c20-17(21)13-1-3-14(4-2-13)23-12-9-19(18(23)27)7-10-22(11-8-19)15(24)5-6-16(25)26/h1-4H,5-12H2,(H3,20,21)(H,25,26)"
Standard Inchi Key(RDKit),BROCTSVQXVRLII-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(N2CCC3(CCN(C(=O)CCC(=O)O)CC3)C2=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),372.425
MW Monoisotopic(RDKit),372.179755248
MolLogP(RDKit),1.18097
XLogP(SDF),
XLogP(CDK),0.172
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),127.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.528118153426344
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1212654.4406223742
qed,0.5281181534263444
Chi0,19.604083527755577
Chi1,12.821004869020491
TPSA,127.79000000000002
Chi0n,15.109991253331977
Chi0v,15.109991253331977
Chi1n,9.083292217353325
Chi1v,9.083292217353325
Chi2n,7.222195017590466
Chi2v,7.222195017590466
Chi3n,5.628760576788829
Chi3v,5.628760576788829
Chi4n,3.9078722822893024
Chi4v,3.9078722822893024
MolMR,99.54490000000003
MolWt,372.4250000000001
fr_SH,0
Kappa1,18.878174131325142
Kappa2,7.3797731568998115
Kappa3,3.788797933989339
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,766.4192587445027
MolLogP,1.1809699999999999
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.6230713086676047
SMR_VSA1,19.49013894705617
SMR_VSA2,5.409283605791522
SMR_VSA3,4.899909730850478
SMR_VSA4,11.148657946558965
SMR_VSA5,32.10410811463005
SMR_VSA6,24.534178948588206
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,156.987697388606
NHOHCount,4
PEOE_VSA1,20.640014333703846
PEOE_VSA2,19.792895158006985
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,43.52793314262447
PEOE_VSA8,37.305928607044294
PEOE_VSA9,11.83581209232279
RingCount,3
SMR_VSA10,29.306670807095692
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,372.17975524799994
NumHDonors,3
PEOE_VSA10,5.835619785757269
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012664
SlogP_VSA2,53.259990875841034
SlogP_VSA3,14.383611552215466
SlogP_VSA4,10.824274075188303
SlogP_VSA5,37.667559606327046
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.384295757348628
EState_VSA2,30.4916224903123
EState_VSA3,38.039363955286746
EState_VSA4,12.10820789760957
EState_VSA5,0.0
EState_VSA6,34.0652877355474
EState_VSA7,0.0
EState_VSA8,0.0
EState_VSA9,16.249478477794412
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,71.25
