DLiP-ID,C002X9
DLiP-Mol-ID,33009
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16N2O3S/c1-2-21-16-11-12-17(14-9-6-10-15(18(14)16)19(21)22)25(23,24)20-13-7-4-3-5-8-13/h3-12,20H,2H2,1H3"
Standard Inchi Key(RDKit),PJZOSSPBYSARQG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4)ccc1c23
SMILES(SDF),
MW(SDF),
MW(RDKit),352.415
MW Monoisotopic(RDKit),352.088163372
MolLogP(RDKit),3.6207
XLogP(SDF),
XLogP(CDK),3.495
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.779745002923137
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,694504.7821511067
qed,0.7797450029231373
Chi0,17.60408352775558
Chi1,12.026005232608501
TPSA,66.48
Chi0n,13.56081623043822
Chi0v,14.377312811365945
Chi1n,7.981638052634682
Chi1v,9.464801300229073
Chi2n,5.831893966154105
Chi2v,7.482718092400037
Chi3n,4.3767379264374
Chi3v,5.816194851627492
Chi4n,3.283893047709288
Chi4v,4.5470459410958775
MolMR,98.54900000000004
MolWt,352.415
fr_SH,0
Kappa1,15.655142884809266
Kappa2,5.597347535111697
Kappa3,2.371965553475434
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1092.3572318813744
MolLogP,3.620700000000002
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.907921800631812
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,11.819220675208399
SMR_VSA6,16.166761001215143
SMR_VSA7,66.2271221763131
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
