DLiP-ID,T003P5
DLiP-Mol-ID,20624
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H17N3O4S/c1-19-10-11-8-12(6-7-15(11)17-16(19)20)18-24(21,22)14-5-3-4-13(9-14)23-2/h3-9,18H,10H2,1-2H3,(H,17,20)"
Standard Inchi Key(RDKit),LYBJWJIXGWVXOK-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(S(=O)(=O)Nc2ccc3c(c2)CN(C)C(=O)N3)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),347.396
MW Monoisotopic(RDKit),347.093977024
MolLogP(RDKit),2.4733
XLogP(SDF),
XLogP(CDK),1.354
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),87.74
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.889287619180716
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4/NUT
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,247960.01962537217
qed,0.8892876191807159
Chi0,17.319626477379405
Chi1,11.386178577914636
TPSA,87.74000000000001
Chi0n,13.237013713333203
Chi0v,14.05351029426093
Chi1n,7.2080808313434765
Chi1v,8.691244078937869
Chi2n,5.442622988531299
Chi2v,7.125025229940815
Chi3n,3.7047771427277136
Chi3v,5.0837444759468395
Chi4n,2.4303406228727407
Chi4v,3.514484346968176
MolMR,90.73020000000002
MolWt,347.3960000000001
fr_SH,0
Kappa1,16.1295674675377
Kappa2,6.044875918909173
Kappa3,3.134936367067754
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,895.9455782610012
MolLogP,2.4733
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.8777768698608015
SMR_VSA1,17.949197122200808
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,11.440239881430351
SMR_VSA6,24.196352992413143
SMR_VSA7,48.02802097092827
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
