DLiP-ID,C004XF
DLiP-Mol-ID,35889
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12N4O3/c17-15(21)11-5-7-13(8-6-11)20-9-14(18-19-20)10-1-3-12(4-2-10)16(22)23/h1-9H,(H2,17,21)(H,22,23)"
Standard Inchi Key(RDKit),XJFMPFAQHZZJPX-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(=O)c1ccc(-n2cc(-c3ccc(C(=O)O)cc3)nn2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),308.297
MW Monoisotopic(RDKit),308.090940244
MolLogP(RDKit),1.7314
XLogP(SDF),
XLogP(CDK),1.981
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),111.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.762125362620214
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,245989.48610528465
qed,0.7621253626202141
Chi0,16.396976746569035
Chi1,11.041713895658194
TPSA,111.10000000000001
Chi0n,11.87885365482382
Chi0v,11.87885365482382
Chi1n,6.7073522527424245
Chi1v,6.7073522527424245
Chi2n,4.841979701782267
Chi2v,4.841979701782267
Chi3n,3.337367649246635
Chi3v,3.337367649246635
Chi4n,2.0842717118281513
Chi4v,2.0842717118281513
MolMR,82.27220000000001
MolWt,308.29699999999997
fr_SH,0
Kappa1,14.456968809165158
Kappa2,5.721853951403024
Kappa3,2.9318812671470624
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,795.1008230756735
MolLogP,1.7314
NOCount,7
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.873433533987809
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,14.993869839101091
SMR_VSA4,5.733667477162185
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,65.85468310269995
SMR_VSA8,0.0
SMR_VSA9,16.944765761229018
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,130.52797941602662
NHOHCount,3
PEOE_VSA1,10.84019487200289
PEOE_VSA2,4.794537184071822
