DLiP-ID,T006JV
DLiP-Mol-ID,24133
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H9Cl2N5/c9-4-2-1-3-5(6(4)10)14-8(13)15-7(11)12/h1-3H,(H6,11,12,13,14,15)"
Standard Inchi Key(RDKit),VBICEVQOHHQRLY-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)NC(=N)Nc1cccc(Cl)c1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),246.101
MW Monoisotopic(RDKit),245.023500648
MolLogP(RDKit),1.82314
XLogP(SDF),
XLogP(CDK),2.805
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),97.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.385838586939314
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,S100B/p53
Common Target Pref Name,S100B/p53
RDKit Descriptors
Ipc,1741.1392715815487
qed,0.38583858693931433
Chi0,11.422285251880869
Chi1,7.002907755397973
TPSA,97.78
Chi0n,7.565330022776958
Chi0v,9.077187914813868
Chi1n,3.9106565434603326
Chi1v,4.666585489478788
Chi2n,2.6400535594251577
Chi2v,3.425218159174991
Chi3n,1.4709336522441483
Chi3v,2.2898362223687823
Chi4n,0.9009252381314893
Chi4v,1.2486982833578675
