DLiP-ID,T002KG
DLiP-Mol-ID,18874
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H24N4O7S/c1-4-9-21(10-5-2)19-17(22(24)25)12-16(13-18(19)23(26)27)31(28,29)20-14-7-6-8-15(11-14)30-3/h6-8,11-13,20H,4-5,9-10H2,1-3H3"
Standard Inchi Key(RDKit),IMFGKZQWWQAMIT-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(OC)c2)cc1[N+](=O)[O-]
SMILES(SDF),
MW(SDF),
MW(RDKit),452.489
MW Monoisotopic(RDKit),452.136570108
MolLogP(RDKit),3.9388
XLogP(SDF),
XLogP(CDK),4.185
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),11
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),144.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.398478299642698
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tubulin dimer
Common Target Pref Name,Tubulin dimer
RDKit Descriptors
Ipc,4351952.843252515
qed,0.39847829964269815
Chi0,23.181433796945203
Chi1,14.638596097739258
TPSA,144.92000000000002
Chi0n,17.400155850094723
Chi0v,18.21665243102245
Chi1n,9.52780803391509
Chi1v,11.010971281509484
Chi2n,6.648854135161251
Chi2v,8.331256376570767
Chi3n,4.372118731991486
Chi3v,5.732854431920414
Chi4n,3.1124717747389594
Chi4v,4.201152677171541
MolMR,116.34830000000005
MolWt,452.48900000000015
fr_SH,0
Kappa1,23.864924482017784
Kappa2,10.066559581820979
Kappa3,5.598450990830735
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1031.671127152482
MolLogP,3.9388000000000023
NOCount,11
