DLiP-ID,C100P8
DLiP-Mol-ID,35887
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10N4O4/c20-15(21)11-2-1-3-13(8-11)18-9-14(16-17-18)10-4-6-12(7-5-10)19(22)23/h1-9H,(H,20,21)"
Standard Inchi Key(RDKit),VSACGVGLUWNOQE-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1cccc(-n2cc(-c3ccc([N+](=O)[O-])cc3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),310.269
MW Monoisotopic(RDKit),310.0702048
MolLogP(RDKit),2.5407
XLogP(SDF),
XLogP(CDK),2.986
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),111.15
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.585206912549833
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,244844.11836823562
qed,0.5852069125498328
Chi0,16.396976746569035
Chi1,11.041713895658193
TPSA,111.14999999999999
Chi0n,11.656965271598015
Chi0v,11.656965271598015
Chi1n,6.553308142335771
Chi1v,6.553308142335771
Chi2n,4.707816795602482
Chi2v,4.707816795602482
Chi3n,3.224922468395589
Chi3v,3.224922468395589
Chi4n,2.057627725407128
Chi4v,2.057627725407128
MolMR,80.40870000000001
MolWt,310.269
fr_SH,0
Kappa1,14.389899261577582
Kappa2,5.6799685826292015
Kappa3,2.9058895642140086
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,886.5023516437092
MolLogP,2.5407
NOCount,8
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.922877727594936
SMR_VSA1,14.824375627730198
SMR_VSA2,0.0
SMR_VSA3,14.993869839101091
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,70.40554987976853
SMR_VSA8,0.0
SMR_VSA9,16.944765761229018
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,129.31460022707333
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,10.114318268765572
PEOE_VSA3,9.476340119217006
PEOE_VSA4,0.0
PEOE_VSA5,5.098681808301038
PEOE_VSA6,11.279752164116477
