DLiP-ID,T002C0
DLiP-Mol-ID,18508
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H27FN2O6/c1-33-19-12-15(13-20(34-2)24(19)35-3)23(30)26(32)29-17-8-5-9-18(29)25(31)28-11-10-14-6-4-7-16(27)21(14)22(17)28/h4,6-7,12-13,17-18,22H,5,8-11H2,1-3H3"
Standard Inchi Key(RDKit),HVRRAMBFBJDLEB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(C(=O)C(=O)N2C3CCCC2C2c4c(F)cccc4CCN2C3=O)cc(OC)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),482.508
MW Monoisotopic(RDKit),482.185314804
MolLogP(RDKit),2.9235
XLogP(SDF),
XLogP(CDK),2.588
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),85.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.481381955851784
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,94670320.60946265
qed,0.4813819558517838
Chi0,24.852642193269503
Chi1,16.90461586301503
TPSA,85.38000000000002
Chi0n,19.87621746624207
Chi0v,19.87621746624207
Chi1n,11.655961058325575
Chi1v,11.655961058325575
Chi2n,9.008714820995705
Chi2v,9.008714820995705
Chi3n,7.355607277862481
Chi3v,7.355607277862481
Chi4n,5.832678419189756
Chi4v,5.832678419189756
MolMR,123.25950000000006
MolWt,482.50800000000027
fr_SH,0
Kappa1,23.137307642039374
Kappa2,8.86773989204055
Kappa3,3.5195632166303494
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1189.3184431087345
MolLogP,2.9235000000000015
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5517962932521707
SMR_VSA1,32.98461546129043
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,43.808808979147926
SMR_VSA6,27.874149029745176
SMR_VSA7,52.83941065844493
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,202.0905981985108
NHOHCount,0
PEOE_VSA1,24.010408323101103
PEOE_VSA2,14.383611552215466
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,49.44583918878586
PEOE_VSA8,17.671659389306566
PEOE_VSA9,33.41307428212852
RingCount,5
SMR_VSA10,17.59760440506795
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,482.185314804
NumHDonors,0
PEOE_VSA10,11.859061670193856
PEOE_VSA11,11.49902366656781
PEOE_VSA12,11.65669156263541
PEOE_VSA13,11.690424675716445
PEOE_VSA14,0.0
SlogP_VSA1,14.210588861400147
SlogP_VSA2,67.35525455481
SlogP_VSA3,16.00989599106965
SlogP_VSA4,5.817220841045895
SlogP_VSA5,46.789197357088796
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
