DLiP-ID,T002M2
DLiP-Mol-ID,18932
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H19N5/c1-16-9-5-6-12-18(16)15-24-22-20(17-10-3-2-4-11-17)26-27-21(25-22)19-13-7-8-14-23-19/h2-14H,15H2,1H3,(H,24,25,27)"
Standard Inchi Key(RDKit),IQPNHTBTBKIPFH-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1CNc1nc(-c2ccccn2)nnc1-c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),353.429
MW Monoisotopic(RDKit),353.164045608
MolLogP(RDKit),4.52112
XLogP(SDF),
XLogP(CDK),4.315
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),63.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.571341376126796
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,2563939.9115831135
qed,0.571341376126796
Chi0,18.476480726871785
Chi1,13.309663088089318
TPSA,63.59
Chi0n,15.00151466265152
Chi0v,15.00151466265152
Chi1n,8.810048665991001
Chi1v,8.810048665991001
Chi2n,6.193665109559879
Chi2v,6.193665109559879
Chi3n,4.335487078189768
Chi3v,4.335487078189768
Chi4n,2.8305729024953816
Chi4v,2.8305729024953816
MolMR,106.99969999999999
MolWt,353.4290000000001
fr_SH,0
Kappa1,16.846280991735537
Kappa2,7.742349957734576
Kappa3,3.819921650903966
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1032.7575391831977
MolLogP,4.5211200000000025
NOCount,5
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.721924423334445
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,20.16532065849649
SMR_VSA4,0.0
