DLiP-ID,T001XG
DLiP-Mol-ID,17874
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H27N5O4/c28-25(29)18-6-9-20(10-7-18)31-26(35)19-8-11-22-23(14-19)30-21(15-24(33)34)16-32(27(22)36)13-12-17-4-2-1-3-5-17/h1-11,14,21,30H,12-13,15-16H2,(H3,28,29)(H,31,35)(H,33,34)"
Standard Inchi Key(RDKit),GPDBRNCVMGUGBS-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(NC(=O)c2ccc3c(c2)NC(CC(=O)O)CN(CCc2ccccc2)C3=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),485.544
MW Monoisotopic(RDKit),485.206304344
MolLogP(RDKit),3.17667
XLogP(SDF),
XLogP(CDK),3.46
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),148.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.244416724129501
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,112022386.78084072
qed,0.2444167241295014
Chi0,25.65612529163336
Chi1,17.295734091081684
TPSA,148.60999999999999
Chi0n,19.53050295579246
Chi0v,19.53050295579246
Chi1n,11.513079873814794
Chi1v,11.513079873814794
Chi2n,8.631402872323408
Chi2v,8.631402872323408
Chi3n,5.987791910187098
Chi3v,5.987791910187098
Chi4n,4.14056101598552
Chi4v,4.14056101598552
MolMR,137.5662999999999
MolWt,485.54400000000027
fr_SH,0
Kappa1,24.464118030357966
Kappa2,10.728462935721115
Kappa3,5.873590750605515
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1291.2759773666382
MolLogP,3.1766700000000014
NOCount,9
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.5504270808296046
SMR_VSA1,19.49013894705617
SMR_VSA2,5.409283605791522
SMR_VSA3,4.899909730850478
SMR_VSA4,5.733667477162185
SMR_VSA5,18.88348407499998
SMR_VSA6,23.723090019837812
SMR_VSA7,95.05021078832733
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,207.98783919368952
NHOHCount,6
PEOE_VSA1,26.373681810866028
PEOE_VSA2,19.792895158006985
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,54.44884259385427
PEOE_VSA8,35.591188344586264
PEOE_VSA9,18.026113943770966
RingCount,4
SMR_VSA10,34.99405708177925
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,485.206304344
NumHDonors,5
PEOE_VSA10,5.835619785757269
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.814359458703011
PEOE_VSA14,5.969305287951849
SlogP_VSA1,16.367244685174846
SlogP_VSA2,52.75707529907642
SlogP_VSA3,11.21535880699783
SlogP_VSA4,5.409283605791522
SlogP_VSA5,38.263701957857634
SlogP_VSA6,72.79640482153933
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,2
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,12.011146117099809
EState_VSA2,30.615557273298865
EState_VSA3,41.0307050532967
EState_VSA4,5.563451491696996
EState_VSA5,0.0
EState_VSA6,47.36447921008175
EState_VSA7,30.33183534230805
EState_VSA8,10.633577208012662
EState_VSA9,11.142951082953708
SlogP_VSA10,11.374772549367124
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,91.00000000000003
fr_aldehyde,0
