DLiP-ID,T003QU
DLiP-Mol-ID,20684
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H23N3O3S/c1-11-6-7-14(17-12(2)19-23-13(17)3)9-16(11)24(21,22)20-15-5-4-8-18-10-15/h6-7,9,15,18,20H,4-5,8,10H2,1-3H3"
Standard Inchi Key(RDKit),MBPQBSOJNLSBMQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCNC1
SMILES(SDF),
MW(SDF),
MW(RDKit),349.456
MW Monoisotopic(RDKit),349.146012596
MolLogP(RDKit),2.29716
XLogP(SDF),
XLogP(CDK),2.251
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),84.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.884686713928866
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD2/Ack
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,287143.11070430215
qed,0.8846867139288662
Chi0,17.319626477379405
Chi1,11.381847280265067
TPSA,84.23
Chi0n,14.218034958860105
Chi0v,15.034531539787832
Chi1n,8.152199121035835
Chi1v,9.635362368630226
Chi2n,6.344010787573219
Chi2v,8.026413028982736
Chi3n,4.418400858704862
Chi3v,6.08089177680354
Chi4n,3.175543183084408
Chi4v,4.716565074898029
MolMR,92.36320000000005
MolWt,349.45600000000013
fr_SH,0
Kappa1,17.133714372809024
Kappa2,6.661291350772946
