DLiP-ID,I000E7
DLiP-Mol-ID,28279
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20N2O5S/c1-12-19(13(2)26-20-12)14-8-9-17(25-4)18(10-14)27(22,23)21-15-6-5-7-16(11-15)24-3/h5-11,21H,1-4H3"
Standard Inchi Key(RDKit),GVZJAPYHAKPDMB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(NS(=O)(=O)c2cc(-c3c(C)noc3C)ccc2OC)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),388.445
MW Monoisotopic(RDKit),388.10929274
MolLogP(RDKit),3.77644
XLogP(SDF),
XLogP(CDK),3.542
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),90.66
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.691085192258515
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,1213156.7279418565
qed,0.6910851922585154
Chi0,19.604083527755577
Chi1,12.851703735303989
TPSA,90.66
Chi0n,15.438155222610519
Chi0v,16.254651803538245
Chi1n,8.136032700764257
Chi1v,9.619195948358648
Chi2n,5.902263711879784
Chi2v,7.553087838125716
Chi3n,4.097141306438163
Chi3v,5.499637859055425
Chi4n,2.834026195922129
Chi4v,4.079601894357923
MolMR,101.76750000000001
MolWt,388.4450000000001
fr_SH,0
Kappa1,18.781065088757398
Kappa2,7.3188691650230115
Kappa3,3.7511094674556213
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1053.9541067392472
MolLogP,3.7764400000000027
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.065284860836064
SMR_VSA1,22.414617828902383
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,18.742957874899023
SMR_VSA6,18.941689947007156
SMR_VSA7,53.91874489295417
SMR_VSA8,0.0
SMR_VSA9,22.6259266499618
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,157.50842207504104
NHOHCount,1
PEOE_VSA1,13.996820844573445
PEOE_VSA2,4.722094864452088
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,17.289397394048667
PEOE_VSA7,43.67639416492468
PEOE_VSA8,11.629818560158606
PEOE_VSA9,25.60090935208709
RingCount,3
SMR_VSA10,15.710677428091145
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,388.10929273999994
NumHDonors,1
PEOE_VSA10,22.154754560960026
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,14.195820772052187
SlogP_VSA2,27.79405532400945
SlogP_VSA3,10.023291153407584
SlogP_VSA4,13.847474399381248
SlogP_VSA5,11.454175413722904
SlogP_VSA6,51.883147891722395
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,2
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,10.644995308801679
EState_VSA3,28.454525013387368
EState_VSA4,5.563451491696996
EState_VSA5,14.219595082555067
EState_VSA6,56.31204387861252
EState_VSA7,0.0
EState_VSA8,9.878758121577533
EState_VSA9,13.996820844573445
SlogP_VSA10,5.687386274683562
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,31.195927969755466
VSA_EState9,38.9559838783171
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,8.417796984328938
EState_VSA11,0.0
FractionCSP3,0.21052631578947367
VSA_EState10,-3.9019118480725603
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.999999999999999
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,27
HeavyAtomMolWt,368.28500000000014
MaxEStateIndex,13.001607851473924
MinEStateIndex,-3.9019118480725603
NumHeteroatoms,8
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.037037037037037
FpDensityMorgan2,1.8148148148148149
FpDensityMorgan3,2.4444444444444446
MaxPartialCharge,0.2651092765131277
MinPartialCharge,-0.4966873930636044
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.001607851473924
MinAbsEStateIndex,0.018814720332577917
NumAliphaticRings,0
NumRotatableBonds,6
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4966873930636044
MinAbsPartialCharge,0.2651092765131277
NumRadicalElectrons,0
NumValenceElectrons,142
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
