DLiP-ID,P000CP
DLiP-Mol-ID,25092
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H23NO6/c1-11(23)22-15-7-5-12-9-18(26-2)20(27-3)21(28-4)19(12)13-6-8-16(24)17(25)10-14(13)15/h6,8-10,15H,5,7H2,1-4H3,(H,22,23)(H,24,25)/t15-/m0/s1"
Standard Inchi Key(RDKit),PRGILOMAMBLWNG-HNNXBMFYSA-N
Canonical SMILES(RDKit),COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1[C@@H](NC(C)=O)CC2
SMILES(SDF),
MW(SDF),
MW(RDKit),385.416
MW Monoisotopic(RDKit),385.152537456
MolLogP(RDKit),2.5686
XLogP(SDF),
XLogP(CDK),3.064
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),94.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.840162232541352
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,1782643.182331182
qed,0.8401622325413517
Chi0,20.42192077295136
Chi1,13.404615863015035
TPSA,94.09
Chi0n,16.2894199561405
Chi0v,16.2894199561405
Chi1n,8.8735084864502
Chi1v,8.8735084864502
Chi2n,6.567411266539695
Chi2v,6.567411266539695
Chi3n,4.894202769053244
Chi3v,4.894202769053244
Chi4n,3.6994902780253796
Chi4v,3.6994902780253796
MolMR,104.34750000000005
MolWt,385.41600000000017
fr_SH,0
Kappa1,19.539068581382004
Kappa2,7.798116736065456
Kappa3,3.3518046119806884
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,985.4365560257471
MolLogP,2.568600000000001
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.4113563995147147
SMR_VSA1,24.111653440312672
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,25.807221274690605
SMR_VSA6,21.3293926238326
SMR_VSA7,45.6156988332128
SMR_VSA8,0.0
SMR_VSA9,34.12495031652961
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,162.42046647154908
NHOHCount,2
PEOE_VSA1,24.63390486024718
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,47.731098926327846
PEOE_VSA8,12.487188691387619
PEOE_VSA9,27.37123345298056
RingCount,3
SMR_VSA10,5.907179729351506
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,385.15253745600006
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,17.248535499851716
PEOE_VSA12,17.08548195453595
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,24.95616785730702
SlogP_VSA2,32.34309974802481
SlogP_VSA3,11.21535880699783
SlogP_VSA4,0.0
SlogP_VSA5,30.513302635158585
SlogP_VSA6,29.060005457918262
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,3
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.428790391900541
EState_VSA2,17.69853239178337
