DLiP-ID,T004SS
DLiP-Mol-ID,21275
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H21N3O3/c1-28-21(26)17-7-5-6-16(14-17)15-23-18-10-12-20(13-11-18)25-22(27)24-19-8-3-2-4-9-19/h2-14,23H,15H2,1H3,(H2,24,25,27)"
Standard Inchi Key(RDKit),PAJSJBLTHMYPMY-UHFFFAOYSA-N
Canonical SMILES(RDKit),COC(=O)c1cccc(CNc2ccc(NC(=O)Nc3ccccc3)cc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),375.428
MW Monoisotopic(RDKit),375.158291532
MolLogP(RDKit),4.7293
XLogP(SDF),
XLogP(CDK),3.774
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),79.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.544346486847737
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,2545101.3152329186
qed,0.5443464868477372
Chi0,19.769373945685235
Chi1,13.635361590784806
TPSA,79.46000000000001
Chi0n,15.437405152043276
Chi0v,15.437405152043276
Chi1n,8.781145519961001
Chi1v,8.781145519961001
Chi2n,6.068012581349091
Chi2v,6.068012581349091
Chi3n,4.019142925398344
Chi3v,4.019142925398344
Chi4n,2.6165744111902867
Chi4v,2.6165744111902867
MolMR,110.6336
MolWt,375.42800000000005
fr_SH,0
Kappa1,18.975304469436512
Kappa2,9.228021694214874
Kappa3,5.346347736625513
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,940.7555065312629
MolLogP,4.729300000000003
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.5302302688581484
SMR_VSA1,14.325937321943691
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,23.060163353296524
SMR_VSA7,89.98967487339495
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,163.09153596962997
NHOHCount,3
PEOE_VSA1,20.68722876581904
PEOE_VSA2,0.0
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,54.09438803938988
PEOE_VSA8,23.60691522996326
PEOE_VSA9,12.673249032974528
RingCount,3
SMR_VSA10,29.062578624340606
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,375.158291532
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,12.000419800289922
SlogP_VSA1,15.950365812018994
SlogP_VSA2,19.110217341567456
SlogP_VSA3,11.281619359712625
SlogP_VSA4,0.0
SlogP_VSA5,15.921440167465814
SlogP_VSA6,78.86277189000094
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
