DLiP-ID,P00006
DLiP-Mol-ID,22166
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H26N6O3/c33-24(19-10-4-3-9-18(19)23-27-29-30-28-23)31-14-13-16-7-1-2-8-17(16)22(31)15-32-25(34)20-11-5-6-12-21(20)26(32)35/h1-2,5-8,11-12,18-19,22H,3-4,9-10,13-15H2,(H,27,28,29,30)/t18-,19+,22+/m0/s1"
Standard Inchi Key(RDKit),ADUCXORFAZLUAN-NNMXDRDESA-N
Canonical SMILES(RDKit),O=C1c2ccccc2C(=O)N1C[C@@H]1c2ccccc2CCN1C(=O)[C@@H]1CCCC[C@@H]1c1nnn[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),470.533
MW Monoisotopic(RDKit),470.206638692
MolLogP(RDKit),2.8957
XLogP(SDF),
XLogP(CDK),3.91
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),112.15
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.587041226648388
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KEAP1/NRF2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,227227856.4592305
qed,0.5870412266483884
Chi0,23.940582342009534
Chi1,17.131030293135236
TPSA,112.15
Chi0n,19.261413278283097
Chi0v,19.261413278283097
Chi1n,12.203418383708412
Chi1v,12.203418383708412
Chi2n,9.546667462788923
Chi2v,9.546667462788923
Chi3n,7.725235814801776
Chi3v,7.725235814801776
Chi4n,5.980446460169353
Chi4v,5.980446460169353
MolMR,125.28570000000006
MolWt,470.5330000000003
fr_SH,0
Kappa1,21.63983973686825
Kappa2,8.720113404883294
Kappa3,3.6193427809483794
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,5
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1254.7539615194337
MolLogP,2.8957000000000006
NOCount,9
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.3375109587736598
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,30.423953269612767
SMR_VSA4,5.917906046161393
SMR_VSA5,44.0638549899394
SMR_VSA6,13.08951281182515
SMR_VSA7,76.60914701248079
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,202.05004426779928
NHOHCount,1
PEOE_VSA1,4.899909730850478
PEOE_VSA2,19.283521283065944
PEOE_VSA3,5.098681808301038
PEOE_VSA4,0.0
PEOE_VSA5,5.098681808301038
PEOE_VSA6,49.23984565662168
PEOE_VSA7,52.94887218040499
PEOE_VSA8,18.380568498235363
PEOE_VSA9,23.713500218454527
RingCount,6
SMR_VSA10,17.721539188054518
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,470.2066386920001
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,5.824404497999927
PEOE_VSA12,5.907179729351506
PEOE_VSA13,11.814359458703011
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,61.23500526949243
SlogP_VSA3,11.21535880699783
SlogP_VSA4,5.917906046161393
SlogP_VSA5,75.31031819994494
SlogP_VSA6,48.53093654769288
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
