DLiP-ID,J000DJ
DLiP-Mol-ID,27236
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H15N3O/c1-10(18)15-12-6-4-11(5-7-12)13-9-17-8-2-3-14(17)16-13/h4-7,9H,2-3,8H2,1H3,(H,15,18)"
Standard Inchi Key(RDKit),MQCINXVRFIDBMO-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)Nc1ccc(-c2cn3c(n2)CCC3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),241.294
MW Monoisotopic(RDKit),241.1215121
MolLogP(RDKit),2.4547
XLogP(SDF),
XLogP(CDK),1.998
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),46.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.877487842027181
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,23134.829685870995
qed,0.8774878420271806
Chi0,12.535169427003234
Chi1,8.720346690612274
TPSA,46.92
Chi0n,10.310747170971553
Chi0v,10.310747170971553
Chi1n,6.162966924479873
Chi1v,6.162966924479873
Chi2n,4.597855209909216
Chi2v,4.597855209909216
Chi3n,3.159601239327693
Chi3v,3.159601239327693
Chi4n,2.3215518920427574
Chi4v,2.3215518920427574
MolMR,70.28770000000003
MolWt,241.29399999999995
fr_SH,0
Kappa1,11.017006335632473
Kappa2,4.2915713838493765
Kappa3,2.012773122405827
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,562.0866143698527
MolLogP,2.4547000000000008
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8514214651103953
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,26.31013685145522
SMR_VSA6,5.316788604006331
SMR_VSA7,36.286716343459446
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,105.65754091622274
NHOHCount,1
PEOE_VSA1,9.883888251797686
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,18.55355575984923
PEOE_VSA8,37.33699656652284
PEOE_VSA9,5.693927994848461
RingCount,3
SMR_VSA10,11.594566004035068
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,241.1215121
NumHDonors,1
PEOE_VSA10,5.824404497999927
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,15.458257898090068
SlogP_VSA3,17.760115212910407
SlogP_VSA4,0.0
SlogP_VSA5,19.168963320616562
SlogP_VSA6,30.462311845459517
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,0.0
EState_VSA4,29.910343790067603
EState_VSA5,19.168963320616562
EState_VSA6,0.0
EState_VSA7,24.26546827384644
EState_VSA8,21.06471034435797
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
