DLiP-ID,C100PU
DLiP-Mol-ID,35935
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H9ClN4/c16-13-5-2-6-14(8-13)20-10-15(18-19-20)12-4-1-3-11(7-12)9-17/h1-8,10H"
Standard Inchi Key(RDKit),AMXLSOWCLVKIMX-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1cccc(-c2cn(-c3cccc(Cl)c3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),280.718
MW Monoisotopic(RDKit),280.051573968
MolLogP(RDKit),3.45938
XLogP(SDF),
XLogP(CDK),3.824
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),54.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.722195917940518
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,68898.192559165
qed,0.7221959179405177
Chi0,13.94938298937633
Chi1,9.75835149307306
TPSA,54.5
Chi0n,10.362971277715694
Chi0v,11.11890022373415
Chi1n,5.9494110641883635
Chi1v,6.32737553719759
Chi2n,4.220831169166722
Chi2v,4.657266949638707
Chi3n,2.8535656307291917
Chi3v,3.0886627335169305
Chi4n,1.8889733106588389
Chi4v,2.0735016898864678
MolMR,76.52000000000002
MolWt,280.71799999999996
fr_SH,0
Kappa1,12.396686360221295
Kappa2,5.156244998461065
Kappa3,2.3958098516122237
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
