DLiP-ID,I000H7
DLiP-Mol-ID,28403
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H28N4O4/c1-17-16-29(26(33)19-7-5-4-6-8-19)13-14-30(17)25(32)18(2)34-23-10-9-21(24(31)27-3)22-15-28-12-11-20(22)23/h4-12,15,17-18H,13-14,16H2,1-3H3,(H,27,31)/t17-,18+/m1/s1"
Standard Inchi Key(RDKit),IFOVLGBERKQOHA-MSOLQXFVSA-N
Canonical SMILES(RDKit),CNC(=O)c1ccc(O[C@@H](C)C(=O)N2CCN(C(=O)c3ccccc3)C[C@H]2C)c2ccncc12
SMILES(SDF),
MW(SDF),
MW(RDKit),460.534
MW Monoisotopic(RDKit),460.211055376
MolLogP(RDKit),2.7348
XLogP(SDF),
XLogP(CDK),2.805
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.632237862396369
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,50296201.771861725
qed,0.6322378623963691
Chi0,24.241911729260266
Chi1,16.401085903164898
TPSA,91.84
Chi0n,19.52415752219048
Chi0v,19.52415752219048
Chi1n,11.306367175122004
Chi1v,11.306367175122004
Chi2n,8.36956867743365
Chi2v,8.36956867743365
Chi3n,6.119798355761033
Chi3v,6.119798355761033
Chi4n,4.305135752974866
Chi4v,4.305135752974866
MolMR,128.74370000000002
MolWt,460.53400000000016
fr_SH,0
Kappa1,23.226004064545247
Kappa2,9.906116026765684
Kappa3,4.568947344873419
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1213.9059917510378
MolLogP,2.7348
NOCount,8
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4595487559180775
SMR_VSA1,19.120474506015512
SMR_VSA2,0.0
SMR_VSA3,20.100586586654494
SMR_VSA4,0.0
SMR_VSA5,25.99328161627751
SMR_VSA6,26.681941200414915
SMR_VSA7,72.05152667431302
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
