DLiP-ID,C100OL
DLiP-Mol-ID,35922
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H11N5O3/c16-15(21)11-4-1-3-10(7-11)14-9-19(18-17-14)12-5-2-6-13(8-12)20(22)23/h1-9H,(H2,16,21)"
Standard Inchi Key(RDKit),CDUSLHRRVGQOGA-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(=O)c1cccc(-c2cn(-c3cccc([N+](=O)[O-])c3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),309.285
MW Monoisotopic(RDKit),309.086189212
MolLogP(RDKit),1.9414
XLogP(SDF),
XLogP(CDK),2.258
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),116.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.583489659344917
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,243703.62718309296
qed,0.5834896593449173
Chi0,16.396976746569035
Chi1,11.041713895658193
TPSA,116.94
Chi0n,11.787101945287683
Chi0v,11.787101945287683
Chi1n,6.618376479180605
Chi1v,6.618376479180605
Chi2n,4.770369324999079
Chi2v,4.770369324999079
Chi3n,3.241339263690843
Chi3v,3.241339263690843
Chi4n,2.1031602737123603
Chi4v,2.1031602737123603
MolMR,81.96730000000001
MolWt,309.28499999999997
