DLiP-ID,T001J4
DLiP-Mol-ID,17258
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H20N2O2S/c1-11-8-12(2)10-13(9-11)14-18(16,17)15-6-4-3-5-7-15/h8-10,14H,3-7H2,1-2H3"
Standard Inchi Key(RDKit),FKOZHNHYOJHVIG-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(C)cc(NS(=O)(=O)N2CCCCC2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),268.382
MW Monoisotopic(RDKit),268.12454888
MolLogP(RDKit),2.44604
XLogP(SDF),
XLogP(CDK),2.567
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),49.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.915084516098083
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,10139.523270509024
qed,0.9150845160980832
Chi0,13.173362107437434
Chi1,8.471163677742107
TPSA,49.410000000000004
Chi0n,10.939543180393164
Chi0v,11.75603976132089
Chi1n,6.334538004002874
Chi1v,7.774601332803514
Chi2n,4.943196242087327
Chi2v,6.613850846469896
Chi3n,3.1234635198970913
Chi3v,4.662103822649857
Chi4n,2.3523357545916457
Chi4v,3.6360611473139928
MolMR,73.88250000000004
MolWt,268.3819999999999
fr_SH,0
Kappa1,13.363737323277082
Kappa2,5.281172555259801
Kappa3,3.234063976430582
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,499.54282362813024
MolLogP,2.446040000000001
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.157774367238536
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,4.305215991296234
SMR_VSA4,0.0
SMR_VSA5,33.10993926815928
SMR_VSA6,17.811607676277237
SMR_VSA7,29.32600418877882
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,109.186016023599
NHOHCount,1
PEOE_VSA1,0.0
PEOE_VSA2,4.722094864452088
PEOE_VSA3,0.0
PEOE_VSA4,12.72301297562517
PEOE_VSA5,0.0
PEOE_VSA6,12.487188691387619
PEOE_VSA7,49.94875476555048
PEOE_VSA8,13.08951281182515
PEOE_VSA9,5.687386274683562
RingCount,2
SMR_VSA10,15.896715445081227
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,268.12454888
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,10.209329170397666
SlogP_VSA1,4.722094864452088
SlogP_VSA2,25.812525787450323
SlogP_VSA3,10.209329170397666
SlogP_VSA4,13.847474399381248
SlogP_VSA5,30.389367852172022
SlogP_VSA6,18.19910120538483
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.209329170397666
EState_VSA2,0.0
EState_VSA3,18.776899086508713
EState_VSA4,30.389367852172022
EState_VSA5,4.305215991296234
EState_VSA6,0.0
EState_VSA7,32.046575604766076
EState_VSA8,4.722094864452088
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,25.920717120181404
VSA_EState9,19.382523620559333
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,8.417796984328938
EState_VSA11,0.0
FractionCSP3,0.5384615384615384
VSA_EState10,-3.386574074074073
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.0700000000000003
NumHAcceptors,2
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,18
HeavyAtomMolWt,248.22199999999995
MaxEStateIndex,12.192418745275887
MinEStateIndex,-3.386574074074073
NumHeteroatoms,5
fr_aryl_methyl,2
fr_isothiocyan,0
