DLiP-ID,C0002U
DLiP-Mol-ID,26459
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C7H7N3/c8-6-1-2-7-5(3-6)4-9-10-7/h1-4H,8H2,(H,9,10)"
Standard Inchi Key(RDKit),XBTOSRUBOXQWBO-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1ccc2[nH]ncc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),133.154
MW Monoisotopic(RDKit),133.063997224
MolLogP(RDKit),1.1451
XLogP(SDF),
XLogP(CDK),1.331
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),54.7
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),10
QED Weighted(RDKit),0.529376991011898
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,357.08299996134014
qed,0.5293769910118981
Chi0,6.974691494688164
Chi1,4.860173345306137
TPSA,54.7
Chi0n,5.333964941448087
Chi0v,5.333964941448087
Chi1n,3.0471898283993513
Chi1v,3.0471898283993513
Chi2n,2.2166901251091833
Chi2v,2.2166901251091833
Chi3n,1.464259295777301
Chi3v,1.464259295777301
Chi4n,0.9611935476203206
Chi4v,0.9611935476203206
MolMR,40.506099999999996
MolWt,133.15400000000002
fr_SH,0
Kappa1,5.288577838576684
Kappa2,1.7335936676592663
Kappa3,0.6394546749085731
